latency,duration,type,marker_value,key,timestamp,marker_id
0.039142,0,published_date,2020-11-24T04:03:15.464000Z,-1,1625917740,1
0.04685,3.169131,sensor_check,TRUE,-1,1625917740,2
3.9737,1.374287,sound_check,TRUE,-1,1625917744,3
5.355895,26.157498,phase_Calibration_phase_1,15152,-1,1625917745,4
9.486164,22.011612,eyesopen_element_pre,NULL,-1,1625917749,5
31.513393,4.108042,phase_Instructions_Phase_1,15153,-1,1625917771,6
31.52911,113.92464,active_period,active_period,-1,1625917771,7
31.52911,1.835184,instructions1,NULL,-1,1625917771,8
33.364294,1.429246,instructionsfinal,NULL,-1,1625917773,9
34.801448,0.819987,text_element_cqxq,NULL,-1,1625917774,10
35.629144,1.194992,example1,correct,-1,1625917775,11
35.629144,8.49529,phase_Example,15154,-1,1625917775,12
36.389923,0,keydown,correct,32,1625917776,11
36.832044,0.491533,gap_element,auto_generated,-1,1625917776,13
37.331485,1.193793,example2,correct,-1,1625917777,14
37.788923,0,keydown,correct,32,1625917777,14
38.533187,0.49994,gap_element,auto_generated,-1,1625917778,15
39.033127,1.194692,pattern,NULL,-1,1625917779,16
40.227819,0.515657,gap_element,auto_generated,-1,1625917780,17
40.751285,1.210309,example3,correct,-1,1625917780,18
41.208923,0,keydown,correct,32,1625917781,18
41.961594,0.507349,gap_element,auto_generated,-1,1625917782,19
42.476752,1.132325,text_element_m8fp,NULL,-1,1625917782,20
43.616885,0.507549,gap_element,auto_generated,-1,1625917783,21
44.124434,3.013861,phase_RSG,15155,-1,1625917784,22
44.124434,0.999082,ready,NULL,-1,1625917784,23
45.123516,1.007789,set,NULL,-1,1625917785,24
46.131305,1.00699,go,NULL,-1,1625917786,25
47.146203,1.202601,pattern,NULL,-1,1625917787,26
47.146203,36.144801,phase_Stimuli_phase_1,15151,-1,1625917787,27
48.348804,0.203519,gap_element,auto_generated,-1,1625917788,28
48.552323,0.428665,plain_hit,correct,-1,1625917788,29
48.976923,0,keydown,correct,32,1625917789,29
48.988897,0.203519,gap_element,auto_generated,-1,1625917789,30
49.192416,0.811679,pattern,NULL,-1,1625917789,31
50.004095,0.203019,gap_element,auto_generated,-1,1625917790,32
50.207114,0.375105,plain_hit,correct,-1,1625917790,33
50.580923,0,keydown,correct,32,1625917790,33
50.590028,0.194911,gap_element,auto_generated,-1,1625917790,34
50.792648,0.468207,plain_hit,correct,-1,1625917790,35
51.257923,0,keydown,correct,32,1625917791,35
51.268763,0.210828,gap_element,auto_generated,-1,1625917791,36
51.479591,0.429865,plain_hit,correct,-1,1625917791,37
51.904923,0,keydown,correct,32,1625917792,37
51.909456,0.210828,gap_element,auto_generated,-1,1625917792,38
52.120284,0.421456,plain_hit,correct,-1,1625917792,39
52.532923,0,keydown,correct,32,1625917792,39
52.54174,0.20292,gap_element,auto_generated,-1,1625917792,40
52.74466,0.414147,plain_hit,correct,-1,1625917792,41
53.150923,0,keydown,correct,32,1625917793,41
53.158807,0.195111,gap_element,auto_generated,-1,1625917793,42
53.361727,0.374905,plain_hit,correct,-1,1625917793,43
53.731923,0,keydown,correct,32,1625917793,43
53.736632,0.20322,gap_element,auto_generated,-1,1625917793,44
53.939852,0.398031,plain_hit,correct,-1,1625917794,45
54.332923,0,keydown,correct,32,1625917794,45
54.337883,0.202819,gap_element,auto_generated,-1,1625917794,46
54.540702,0.999981,pattern,NULL,-1,1625917794,47
55.540683,0.210429,gap_element,auto_generated,-1,1625917795,48
55.75882,0.375305,plain_hit,correct,-1,1625917795,49
56.124923,0,keydown,correct,32,1625917796,49
56.141934,0.20262,gap_element,auto_generated,-1,1625917796,50
56.344554,0.429764,plain_hit,correct,-1,1625917796,51
56.769923,0,keydown,correct,32,1625917796,51
56.774318,0.210628,gap_element,auto_generated,-1,1625917796,52
56.984946,0.382914,plain_hit,correct,-1,1625917797,53
57.360923,0,keydown,correct,32,1625917797,53
57.36786,0.210828,gap_element,auto_generated,-1,1625917797,54
